date,open,high,low,close,volume
2024-07-30 12:20:00,1183.5,1183.7,1183.0,1183.1,477
2024-07-30 12:21:00,1183.5,1183.5,1183.1,1183.2,193
2024-07-30 12:22:00,1183.2,1183.5,1182.05,1182.75,329
2024-07-30 12:23:00,1182.75,1182.85,1182.55,1182.8,254
2024-07-30 12:24:00,1182.8,1182.8,1182.55,1182.8,194
2024-07-30 12:25:00,1182.8,1183.05,1182.75,1183.05,514
2024-07-30 12:26:00,1183.05,1184.7,1183.05,1184.45,200
2024-07-30 12:27:00,1184.45,1185.0,1182.8,1183.25,406
2024-07-30 12:28:00,1183.25,1183.9,1183.25,1183.25,201
2024-07-30 12:29:00,1183.25,1183.9,1182.8,1182.8,202
2024-07-30 12:30:00,1182.8,1183.35,1182.8,1183.35,230
2024-07-30 12:31:00,1183.35,1183.35,1182.35,1182.95,248
2024-07-30 12:32:00,1182.95,1182.95,1182.5,1182.5,264
2024-07-30 12:33:00,1182.5,1182.5,1181.25,1181.25,313
2024-07-30 12:34:00,1181.25,1181.3,1180.7,1180.7,343
2024-07-30 12:35:00,1181.0,1181.0,1179.25,1180.0,1409
2024-07-30 12:36:00,1180.0,1180.0,1179.7,1180.0,386
2024-07-30 12:37:00,1180.0,1180.0,1179.5,1180.0,254
2024-07-30 12:38:00,1180.0,1180.6,1180.0,1180.25,268
2024-07-30 12:39:00,1180.25,1181.35,1180.25,1181.0,272
2024-07-30 12:40:00,1181.0,1181.5,1180.6,1180.6,224
2024-07-30 12:41:00,1180.6,1180.6,1179.05,1179.5,469
2024-07-30 12:42:00,1179.5,1179.5,1178.0,1178.0,1040
2024-07-30 12:43:00,1177.2,1178.0,1176.1,1177.25,1636
2024-07-30 12:44:00,1177.25,1178.0,1177.25,1178.0,279
2024-07-30 12:45:00,1178.0,1179.95,1177.05,1178.5,551
2024-07-30 12:46:00,1178.5,1178.55,1178.0,1178.55,281
2024-07-30 12:47:00,1178.55,1179.95,1178.55,1178.7,228
2024-07-30 12:48:00,1178.7,1180.95,1178.7,1180.0,214
2024-07-30 12:49:00,1180.0,1180.0,1178.95,1179.3,682
2024-07-30 12:50:00,1179.3,1179.45,1179.3,1179.4,655
2024-07-30 12:51:00,1179.4,1181.75,1179.4,1181.05,777
